subject,description
Refund needed,The apps don't work with my use case I try to use the free trial and it did not work in time so I had to purchase the order for $72. I need a refund or I will be needing to go to my bank and have the disputed here's evidence of my claim.
"Windows VPS - 2CPU, 8GB RAM, 100GB SSD","hi
I bought a system with 8 GB of RAM, but it is all 4 GB"
i want reset my password account,as i told you i want reset my password but  hwne I do that I don't get any email from you can I reset my paassword
unable to access my VPS,"Hi Team,


I've been trying to access both my VPS but i'm facing issue even after resetting the same.
Could you kindly look into this issue as I've to do some program analysis and pentesting and submit a white paper on the same.


Best Regards,

Foy."
HIPAA,"Is your software HIPAA compliant?  Can we sign a BAA with you?

Thank you!"
i cant find my rdp after i pay the rdp ,can you check if my subscription active if yes why I cant find the rdp
i cant find the rdp active ,can you check if the subscription is active if yes can you fix the rdp is disappear in the menu
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1641,27 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\LocalLow\Temp\Microsoft\OPC\DDT.05wa4r02t5lbrov9o_w5mbx2g.tmp.
Owner of the source of the notification AOF\hani.probost."
How many VPS can be created using the one month plan ,"Good morning subscribing to a one month plan, how many computers can be created if subscribed to a one month plan. Do reply asap. Thanks"
i waited,"i cant wait another day i was told to wait 30 min but no i had to wait 5 days please fix this, i need to get something from xiztune"
Unable to access my VPS,"Hi Team,



I'm unable to access both my VPS even after resetting them multiple times, I've to submit a academic paper on malware analysis and pentesting coming Monday, Could you please look into this VPS issue.



Thanks and regards,

Foy."
Re: [AppOnFly] Re: 1 GB RAM flexible extension DOESN'T WORK,"This is a follow-up to your previous request #1742 ""1 GB RAM flexible extension...""

I gave it a fifth try just now. It's still not working, still stuck on the same ""Connecting"" page. It just doesn't work.

Do I understand correctly that I paid $12 for nothing? I'm unable even launch it, not even mentioning using it. Guys, I require your help or refund for not providing the paid service, what a scam?????"
Re: AppOnFly sign-up attempt,"🙏

mahdi reacted via Gmail (https://www.google.com/gmail/about/?utm_source=gmail-in-product&utm_medium=et&utm_campaign=emojireactionemail#app)


On Fri, Aug 2, 2024, 11:42 AppOnFly <support@apponfly.com> wrote:

Hi,

An account already exists for AppOnFly using this email address. To access it, you can sign in (https://help.apponfly.com) or reset your password (https://help.apponfly.com/password/reset/CZnT4Ie0LvqnrUMnmO0oatGUfYSlyQDS?locale=1) .

If you didn’t try to sign up for a new account, you can safely ignore this email.

This email is a service from AppOnFly. Delivered by Zendesk (https://www.zendesk.com/support/?utm_campaign=text&utm_content=AppOnFly&utm_medium=poweredbyzendesk&utm_source=email-notification)"
Verification of Virtual Machine Usage Hours,"I hope everything is going well at ApponFly. I am writing regarding the calculation of the usage hours for my virtual machine. Although I connect only for a few minutes each week, I have noticed with concern that the hours seem to accumulate much faster than expected. Therefore, I believe there might be an error in the calculation.

I would appreciate it if you could conduct an accurate verification of the usage hours. Additionally, could you please provide me with a detailed explanation of how these hours are calculated?

I want to emphasize that I always make sure to properly shut down the virtual machine at the end of each session. However, I still have concerns that there may be an issue with the hour calculation.

Thank you in advance for your attention to this matter. I look forward to your response.

Best regards, Dario"
Zairaroel80@gmail.com,Zairaroel80@gmail.com
New Invoice,I would like to receive a new invoice to renew my subscription please.
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1638,47 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\17\chrome_PuffinComponentUnpacker_BeginUnzipping8916_1278024943\_platform_specific\win_x86\widevinecdm.dll.
Owner of the source of the notification AOF\hani.probost."
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1641,66 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\21\SPL229D.tmp.
Owner of the source of the notification AOF\hani.probost."
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1638,66 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Microsoft\Edge\User Data\Default\Service Worker\CacheStorage\3cedfb74d44f2e84198d23075aef16c34a668ceb\0e53a28f-f915-4e13-83f5-bdf0ec279707\a7a81a645e3cb86d_1.
Owner of the source of the notification AOF\hani.probost."
vps id and pass,i didnt recived vps id pass . i wanted to logged in into my windows computer rdp so please provide me id and password for vps and rdp
Windows VPS with remote desktop,"Can I connect via windows RDP to this server? (Windows VPS with remote desktop - $18.9) If yes, what are the characteristics of the server (RAM, SSD, etc)?"
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1638,47 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\23\SPL438E.tmp.
Owner of the source of the notification AOF\hani.probost."
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1639,14 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Microsoft\Edge\User Data\Safe Browsing\ChromeExtMalware.store.32_13367593133632847.
Owner of the source of the notification AOF\hani.probost."
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1638,47 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Microsoft\Edge\User Data\Default\Service Worker\ScriptCache\f13a76bbf6c7f0b3_1.
Owner of the source of the notification AOF\hani.probost."
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1640,52 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Microsoft\Edge\User Data\BrowserMetrics\BrowserMetrics-66BB3915-10EC.pma.
Owner of the source of the notification AOF\hani.probost."
i cant connect to i cant connect ,i cant connect to my vps
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1638,43 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Microsoft\Edge\User Data\Default\Asset Store\assets.db\000017.log.
Owner of the source of the notification AOF\hani.probost."
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1638,45 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000507.
Owner of the source of the notification AOF\hani.probost."
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1638,41 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Microsoft\Edge\User Data\Default\8f592a9d-e530-46f2-8bf5-3167e3b4be05.tmp.
Owner of the source of the notification AOF\hani.probost."
My VPS time decreases even though I don't use it,"Even though I'm not using my VPS, my hours are constantly decreasing as if someone is using it. I lost 15 hours because of this. Please help."
My VPS time decreases even though I don't use it,"Even though I'm not using my VPS, my VPS time is decreasing. I lost 15 hours because of this. please help"
frozefrozem,"#### **Windows VPS - 2CPU, 8GB RAM, 100GB SSD**

Performing Factory Reset

We are spinning up your VPS. It will be up and running in a few minutes."
Refund,"Hello,

I subscribed to a one-year plan today but it did not meet my expectations. Also, I couldn't use the free trial because all your trials were busy. I need a refund for this.

Thank you,"
Unable to reset VPS ,"Hi Team,



I am a student learning Cybersecurity, While i was doing a dynamic network analysis of a program, I was logged out of my VPS, I tried resetting the VPS and both my VPS have been showing the same since morning. Could you assist me with this issue, as I planning to submit a paper on the same.

Best Regards,

Foy"
waderoman798@gmail.com,"When I go to the VPS portal, the entire screen is blank and there is no way for me to revert it, I have tried pressing the power button multiple times and it does not do anything, is there any way to fix this?"
Lost password for server login,"Hi

I have lost my email that had my server admin password, and it asking to enter admin password when trying to connect to my server.

Would you be able to reset the password"
I want to connect my VPS with Remote Desktop Application ,"Heyy I want to connect my VPS RDP with Remote Desktop mobile Application I need ""IP address or Hostname & userid & password for login in application can you send me on my mail"
i cant connect he just stay loading ,i cant connect he just stay loading
OVB agents account expired.,"Hello, please resume Apponfly account for

davide.calla@ovbsales.it
andrea.marsetti@ovbsales.it

thanks.



Cordialmente

Dino Bellini
Amministratore Unico
Isango srl
www.isango.it
servizi informatici gestiti
ingegneria informatica
+39 045 48 57 608


Le informazioni contenute nella presente comunicazione e i relativi allegati possono essere riservate e sono, comunque, destinate esclusivamente ai destinatari sopraindicati. La diffusione, distribuzione e/o copiatura del documento trasmesso da parte di qualsiasi soggetto diverso dal destinatario è proibita, sia ai sensi dell’art. 616 c.p. , che ai sensi del D.Lgs. n. 196/2003."
OVB agents account expired.,"Hello, please resume Apponfly account for

denis.lorenzin@ovbsales.it

thanks.



Cordialmente

Dino Bellini
Amministratore Unico
Isango srl
www.isango.it
servizi informatici gestiti
ingegneria informatica
+39 045 48 57 608


Le informazioni contenute nella presente comunicazione e i relativi allegati possono essere riservate e sono, comunque, destinate esclusivamente ai destinatari sopraindicati. La diffusione, distribuzione e/o copiatura del documento trasmesso da parte di qualsiasi soggetto diverso dal destinatario è proibita, sia ai sensi dell’art. 616 c.p. , che ai sensi del D.Lgs. n. 196/2003."
ip address,"Hi There

i live in Florida, US . When i conncet my account, it shows my location in czheck, it does not work for me.

I would like to get connceted my real location or anywhere in USA.

How can i resolve this ip problem?

Thnak you."
ip address,"Hi There

i live in Florida, US . When i conncet my account, it shows my location in czheck, it does not work for me.

I would like to get connceted my real location or anywhere in USA.

How can i resolve this ip problem?

Thnak you."
upgrade plan,Hello I would like to upgrade my current plan without giving up my current VPS workspace. Is it possible and what are the costs?
Vm doesn't start,"Each time I try to connect the windows is stopped on:

Connecting...
Please wait while we prepare VM for you.



But the VM doesn't start.



What can I do?

Thank you"
1000000000000000000000,100000000000000000000000
i cant connect to i cant connect ,i cant connect to i cant connect
apponfly,It will not let me back on apponfly and I can't pay for it so I have to use that free thing and it be over 30 mins now.
brooksarchie1234@gmail.com,I can not get back on apponfly and I can't pay for it so I have to use that free thing and it be over 30 mins now.
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1638,46 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Microsoft\Edge\User Data\Default\load_statistics.db-wal.
Owner of the source of the notification AOF\hani.probost."
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1639,08 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Microsoft\Edge\User Data\Safe Browsing\ChromeExtMalware.store.32_13368873240066296.
Owner of the source of the notification AOF\hani.probost."
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1644,37 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\44\chrome_BITS_2624_1672058434\BIT80EC.tmp.
Owner of the source of the notification AOF\hani.probost."
1000000000000000000000,200000000000000000000
10 hours,"Hello, why is it that when I use my plan every time, 10 hours are deducted from it, and sometimes more, even though I use it much less than that? Please solve the problem as soon as possible."
ip address,"Hi There

i live in Florida, US . When i conncet my account, it shows my location in czheck, it does not work for me.

I would like to get connceted my real location or anywhere in USA.

How can i resolve this ip problem?

Thnak you."
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1638,42 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG1.
Owner of the source of the notification NT AUTHORITY\SYSTEM."
OVB agent account Marsetti expired,"Good afternoon,
can you please create a new subscription for the user Marsetti Andrea?

Kind regards,
Matilde Gorgone

OVB Consulenza Patrimoniale srl
Stradone San Fermo, 19 - 37121 Verona

Tel: +39 045 8037070<callto:+39%20045%208037070>
Email:matilde.gorgone@ovb.it | Web: www.ovb.it<http://www.ovb.it/>
Venite a trovarci anche su  Facebook<https://m.facebook.com/OVBItalia/> e Linkedin<https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/>

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.
La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.
Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail.
Schermata 2024-08-26 alle 16.00.56.png"
OVB agent account Serlini expired,"Good Morning,
can you please create a new subscription for the user Serlini Nicolò?


Kind regards,
Matilde Gorgone

OVB Consulenza Patrimoniale srl
Stradone San Fermo, 19 - 37121 Verona

Tel: +39 045 8037070<callto:+39%20045%208037070>
Email:matilde.gorgone@ovb.it | Web: www.ovb.it<http://www.ovb.it/>
Venite a trovarci anche su  Facebook<https://m.facebook.com/OVBItalia/> e Linkedin<https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/>

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.
La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.
Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail.
Serlini Account Apponfly.png"
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1643,22 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\LocalLow\Temp\Microsoft\OPC\DDT.h74lv0j7nqz3weboem6_n7b7e.tmp.
Owner of the source of the notification AOF\hani.probost."
Vm doesn't start,"ach time I try to connect the windows is stopped on:

Connecting...
Please wait while we prepare VM for you.



But the VM doesn't start.



What can I do?

Thank you"
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1638,74 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\LocalLow\Temp\Microsoft\OPC\DDT.uzftdwd7wok6boq_4iyjg243g.tmp.
Owner of the source of the notification AOF\hani.probost."
server,"after purchasing the plan, which country server you provide.

In free trial it may cz country.

please reply/"
Trouble finding vps to start ,I’ve bought the windows vps and i cannot see a vps to start in the portal
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1640,48 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\LocalLow\Temp\Microsoft\OPC\DDT.5zv58mo2pdgld5sc_7v6xuihe.tmp.
Owner of the source of the notification AOF\hani.probost."
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1638,87 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\60\fnt4E9F.tmp.
Owner of the source of the notification AOF\hani.probost."
OVB Agent account Fasolato expired,"Good Morning,

can you please create a new subscription for the user Fasolato SIlvia?

 

Kind regards,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070   

Email:matilde.gorgone@ovb.it | Web: www.ovb.it (http://www.ovb.it/)

Venite a trovarci anche su  Facebook (https://m.facebook.com/OVBItalia/) e Linkedin (https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/)

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
Testovací zpráva,"Test

Ladislav Hlousek
Traveller & Photographer 

+420 720 230 073  | info@ladislav.me

www.ladislav.me"
rdp connection,can i please get the ip of the computer and password for rdp
IP ADDRESS,I NEED UK IP ADDRESS BUT I DONT KNOW WHY IS SHOWING ANOTHER COUNTRY PLEASE SOLVE THIS PROBLEM OTHERWISE REFUND MY PAYMENT THANKS
REMOTE DESKTOP ERROR,"I'm not from the browser. I want to access my server via normal ""remote desktop"".  I couldn't do it. All the money was wasted. please help me. Also, I cannot open my server in any way right now. It beats constantly."
i cant connect ,i dont know why i cant connect
Reset after 100h,"Hi,

If i use my 100hours, what happen after, you reset the computer ?

Thank you.

Thomas"
RDP Verbindung,"Hello, I have sent screenshots as attachment.

I can't find RDP information.

https://htmlgw3-subs.apponfly.com/rdp/#/client/QXBwT25GbHkAYwBSZXN0QXV0aFByb3ZpZGVy Or what is the username and password in the link?

I would be happy if you help. thanks"
Error finding vps to launch,"Error finding vps to launch after I bought Windows VPS - 1CPU, 2GB RAM, 50GB SSD. I cannot find a vps inside of the portal to launch please help me launch my vps"
remote desktop connection information,"Hello, I need to open it with a Google account. another method; Can you share the username and password? or RDP connection information."
upgrade plan,Hello I would like to upgrade my plan without giving up my current VPS workspace because I have installed couple of apps already and dont want to set up them again. Is it possible and what are the costs?
Re: AppOnFly sign-up attempt,"Can you post windows remote desktop connection information?

AppOnFly <support@apponfly.com>, 2 Eyl 2024 Pzt, 11:58 tarihinde şunu yazdı:

Hi,

An account already exists for AppOnFly using this email address. To access it, you can sign in (https://help.apponfly.com) or reset your password (https://help.apponfly.com/password/reset/yLOG15l3RRWUyNJXjcc5TDNgtQGHtGIu?locale=1) .

If you didn’t try to sign up for a new account, you can safely ignore this email.

This email is a service from AppOnFly. Delivered by Zendesk (https://www.zendesk.com/support/?utm_campaign=text&utm_content=AppOnFly&utm_medium=poweredbyzendesk&utm_source=email-notification)



--

  
Sinan İLHAN
Uluslararası İş Geliştirme Uzmanı

+905326452334 | +902162230376 Dahili:202 | sinan@ihracatpartner.com

Ataevler Mah. Özgürlük Caddesi Sapanca Kavşağı No:4B 41180 Kartepe/Kocaeli

""Minimum Maliyet, Maksimum Kazanç İlkemiz"""
80% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 80% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1638,43 MB currently is in use (80% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\63\chrome_PuffinComponentUnpacker_BeginUnzipping4660_307009518\_platform_specific\win_x86\widevinecdm.dll.
Owner of the source of the notification AOF\hani.probost."
Test #2,Druhá testovací zpráva
Quiero que mis horas se pasen ami primera subscripcion,Quiero pasar mis horas a mi primera subscripcion para no perder datos
Apponfly Update,"Hello,

 

I just checked and there are some updating now in Apponfly, how many times do you think the update will take?

 

 

Kind regards,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070   

Email:matilde.gorgone@ovb.it | Web: www.ovb.it (http://www.ovb.it/)

Venite a trovarci anche su  Facebook (https://m.facebook.com/OVBItalia/) e Linkedin (https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/)

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
R: User Matilde Gorgone,"Hello,

 

Can you please create a new subscription for me, Matilde Gorgone?

 

Con i migliori saluti,

Matilde

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070   

Email:matilde.gorgone@ovb.it | Web: www.ovb.it (http://www.ovb.it/)

Venite a trovarci anche su  Facebook (https://m.facebook.com/OVBItalia/) e Linkedin (https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/)

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
IP ADDRESS,I NEED UNITED KINGDOM IP ADDRESS BUT I DONT KNOW WHY IS SHOWING THIS ANOTHER COUNTRY IF YOU CAN CHANGE THE THANK YOU OTHER WISE PLEASE REFUND MY PAYMENT
Parayı ödedim fakat Windows VPS sağlanmadı.,6 dolar para ödememe rağmen siteniz bana Windows VPS vermedi kartımdan para eksildi bu konu hakkında bana yardımcı olunmazsa dolandırıcılıktan size dava açacağım.
Accourt Racowry,.apponfly.com/windows-vps
REMOTE DESKTOP ERROR,"I'm not from the browser. I want to access my server via normal ""remote desktop"".  I couldn't do it. All the money was wasted. please help me. Also, I cannot open my server in any way right now. It beats constantly."
i cant connect ,i cant connect
OVB User Boraso Alberto,"Hello,

 

Can you please create a new subscription for the user Boraso Alberto?

 

 

Con i migliori saluti,

Matilde

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070   

Email:matilde.gorgone@ovb.it | Web: www.ovb.it (http://www.ovb.it/)

Venite a trovarci anche su  Facebook (https://m.facebook.com/OVBItalia/) e Linkedin (https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/)

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
Billing three times,"Could you please check frist two payment they were charged on Revolut side. The third time the payment was successful on your page and I got the access.



First two times the payment could not go through on your website because of postal code I had."
keep failing of initialize openGL,"please fix it, I just bought and I havent do anything yet but just keep getting that error, isn't that a  waste of my money?"
remote desktop disabled,accidentally disabled remote desktop and now im not available to access the computer
FIX UR SHIT IM TIRED OF IT,I CANT USE THE FUCKING TRIAL CUZ YALL ARE FUCKING LAZY ITS BEEN A FUCKING WEEK AND STILL DOESNT WORK IM GETTING PISSED
This doesn’t work for macOS if there is issue try fixing this,If you notice this it might be slow for windows automation
Puedo transferir mis horas,Quiero tranferir mis horas a mi anterior subscripcion
?,6 cents for an hour?
Access IIS site from outside network  using public IP address,How do I access IIS site or Odoo instance over public IP address from outside network?
Billing three times,"Could you please check the payment because I have tried to subscribe and two times the amount was taken from Revolut account, but could not move forward because of postal code. Third time the payment has gone through, but I got also the subscirbtion.



Could you make a refund of these two first payment that had an issue?"
payment done ,"Hello, i've just paid for the sept-oct bill, but not able to add or open the vps"
FREE Trial always busy,"I've been getting this problem every hour for 3 days.

Unfortunately, all trials are busy. Please subscribe or wait for next free slot."
Request for Device ID and Configuration Reset on VPS,"Dear AppOnFly Support Team,

I hope this message finds you well.

I am currently using your VPS service, and I have encountered a situation where I need to reset or change the device identifiers (such as Device ID, MAC address, IP address, etc.) associated with my virtual machine. After performing several factory resets, it appears that certain device configurations are not being fully reset, and this is affecting my ability to use specific services.

Could you please assist me in:

- Changing or resetting the device identifiers (Device ID, MAC address, and other relevant identifiers).
- Reassigning a new IP address to my VPS instance.
- Ensuring that my VPS is treated as a completely fresh machine after a reset.

If there are any additional steps I need to follow to accomplish this or if there are limitations related to my plan, kindly let me know.

I appreciate your assistance and look forward to your response.

Best regards,
**Mehedi**
**AppOnFly Account Email:** atulhossain007@gmail.com"
It says that trials are busy ,"Unfortunately, all trials are busy. Please subscribe or wait for next free slot."
it says there is an error and connection terminated,"So if I try to login to free trial VPS, it says “an error has occurred, and your network ha been terminated and it will not reconnected”. please fix"
please fix error: failed to initialize openGL ,"I just subscribe to 1 year to your service, and I really haven't do anything yet just downloaded a game that I want to play but when I run it, it keep popup: failed to initialize openGL. please fix that, because if I can't run it here isn't that a waste of my money?"
Refund,I Want A Refund Please
Subscription User Mattia Vaccari,"Hello,

 

can you please create a new subscription for the user Mattia Vaccari?

 

 

Con i migliori saluti,

Matilde

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070   

Email:matilde.gorgone@ovb.it | Web: www.ovb.it (http://www.ovb.it/)

Venite a trovarci anche su  Facebook (https://m.facebook.com/OVBItalia/) e Linkedin (https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/)

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
FREE trailer error,"It keeps giving this error every hour

Unfortunately, all trials are busy. Please subscribe or wait for next free slot."
